Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,67.199997,67.830002,62.820000,64.750000,64.639709,16615500
2018-10-08,63.840000,65.250000,61.240002,63.590000,63.481682,14919200
2018-10-09,63.669998,65.599998,63.189999,64.080002,63.970852,13036200
2018-10-10,62.990002,63.060001,55.439999,55.770000,55.675003,30357000
2018-10-11,55.009998,57.250000,51.830002,53.509998,53.418850,27804000
2018-10-12,57.779999,58.520000,54.799999,58.029999,57.931149,21061000
2018-10-15,57.459999,57.709999,55.250000,55.840000,55.744884,19966900
2018-10-16,57.639999,61.169998,57.349998,60.650002,60.546692,15558300
2018-10-17,61.680000,61.779999,58.950001,60.849998,60.746349,16265100
2018-10-18,60.060001,60.130001,55.810001,56.630001,56.533539,19543600
2018-10-19,57.790001,59.389999,55.790001,56.400002,56.303932,16854600
2018-10-22,57.410000,58.580002,55.970001,57.250000,57.152481,14365800
2018-10-23,54.189999,57.480000,52.230000,56.619999,56.523552,22097700
2018-10-24,56.410000,56.700001,48.680000,48.919998,48.836666,25605300
2018-10-25,51.090000,54.770000,50.430000,53.939999,53.848118,19009200
2018-10-26,48.400002,52.830002,47.480000,49.750000,49.665257,30595200
2018-10-29,51.980000,52.599998,43.840000,47.090000,47.009789,27245200
2018-10-30,46.240002,49.049999,45.570000,48.910000,48.826687,23108200
2018-10-31,51.250000,53.660000,51.250000,52.209999,52.121067,22519700
2018-11-01,52.669998,54.619999,51.439999,54.490002,54.397182,15758300
2018-11-02,53.950001,54.930000,50.799999,52.049999,51.961338,21794700
2018-11-05,52.080002,52.139999,49.759998,51.540001,51.452209,12825100
2018-11-06,51.410000,53.529999,51.270000,52.630001,52.540352,13932700
2018-11-07,54.509998,57.560001,54.169998,57.470001,57.372105,17319000
2018-11-08,56.790001,57.320000,55.660000,56.490002,56.393776,14690600
2018-11-09,54.919998,55.279999,52.290001,53.619999,53.528664,17092400
2018-11-12,52.500000,52.790001,48.590000,48.910000,48.826687,19295900
2018-11-13,49.470001,51.500000,48.439999,48.889999,48.806721,19306800
2018-11-14,50.279999,50.820000,46.880001,47.650002,47.568836,19515500
2018-11-15,47.389999,50.610001,46.209999,50.200001,50.114491,21227100
